book,chapter,line_number,line_content,
MAT,4,00091," {9} Nazapa Tocorime-Tamine Zesoza uati tapomarrari: —Qqui tanerre! Arrirraro zama bazimape tiaza da onaniuarrine. Rrehe, obaccouarri tipitoza titteza ouaza tetizeza: “Occa tamine” tarri. Ouaza nema tezape arrirraro bazimape ticca torraniuarrine, onarraro −narrari Tocorime-Tamine atti.",
MAT,4,00092," {10} Naraha manaco Zeso Tocorime-Tamineza uati tarrari: —Tocorime-Tamine, arricca ticcanirri! Peperriua. Ouape tiaza ouatizena onerrerani. Deo Atti dozo nanizape arrima narraro: “Ia Zozossede Deo Pouazara tetizemanani orrari zanaporri. Poua Attizara iboraqquiri tiquenarri” nani Deo Attipe −narrari Zeso.",
MAT,4,00093, {11} Nazapa Tocorime-Tamine toccanirrari. Nanarra Deocca zozosse tabaqquipa memeuarricca narroremanaporra naza Zeso acco icanemanauiuarrine rrauironarrari.,
MAT,4,00094, {12} Zotode Zesopa —Zouao Batista toponi cocoroza coro izimemanaui −quenaui uima mittazapa zama arobeni onini Carireauarri toccanirrari.,
MAT,4,00095," {13} Naraha Zesopa oza panani Nazaretiza tomadinipoma-rrararrari. Oza panani Capenaouarrina madiuiuarrine toccarrari, naui Carireacca coriza inidiuarri. Zesopa nauiuarri madiuiuarrine toccazapa Izarraeo bedi Zaborona potemauidenicca zamaboteza ccariza, Izarraeo bedi Natari potemauidenicca zamaboteza naco ccariza narrari.",
MAT,4,00096, {14} Zeso nauiuarri madiuiuarrinecca uimape maittaccazama Deo Atti cacomerabote Izaia dozo inaporraro. Poua attipa:,
MAT,4,00097," {15} —Zaborona potemauidenicca zamaboteuarri, Natari potemauidenicca zamaboteuarri naqui uima bicani carrini. Ia Idinide nauiuarri madimanarrarideniza bacco tarrari, pina ssiuarranissa narrari. Nauiuarripa zodeo querrena-rrararrarideni carri taui. Coriza uapicca zama, ueni Zorodao marri toccauiuarricca zama onini Carireazapa Deoza ssamoqquiri naha madimanarrari.",
MAT,4,00098, {16} Ziziniza madimanazapa zoqquehe noppineni cappinemanaraha ssiuarrani zati pouadeniza tossiuarrarizezape Deorrine madirra tocassiuauerauiuarrine tauimarini auato inananitoui −napoui nade Deo Atti Izaiarrine dozo naniza.,
MAT,4,00099, {17} Nauiuarri Zeso bacco tazana Deo Atti maride taide torraporrari. Madirra mari mari ihicanabaqqui naza poua attipa: —Ticcadeni uima Deoza tecomeremaneza ticcadeni uimasiri tinebomanarri. Deotouira tizanapomanarri. Deocca cacauehepe iaza bacco narronabote nani −nanariza narrari Zeso.,
MAT,4,00100," {18} Zeso Carireacca coriza inidi toccabacossaza madirra pamaha qqui inabaqquirrari: Simao poua oni ouaha Pedoro, poua ouaha Adere tezerre. Pouadenipa aba cocorodedeni. Aba corode toquerrenaraha Zeso bacco narronarrari.",
MAT,4,00101," {19} Pouadeniza uati tarrari: —Rrina, ouaza ticadarizarri, ouatimade tiquerrenezape tiadeni onauattabaqquiniuarrine. Taidepe abaza tizepedeni irrimanaporaha rridapanape madirra ouaza toquerrenauiuarrinena tizepedeni irrimananitoui, onarraro −naui nade Zeso.",
MAT,4,00102, {20} Narraro uima mittemananarra poccadeni tarrapa iquenebomaneza Zesoza touedarrari.,
MAT,4,00103," {21} Nazapa denima rraui torrabacossanarra Zesopa madirra ouaha poua imecote tezerre qqui inabaqquirrari. Narraridenipa Zebedeo bedideni Tiaco, Zouao quenarrari. Poccadeni abi quenaza darroniza rrassi zarrari. Tarrapa ssequinimade toquerrenaraha Tiaco, Zouao tezerre Zeso ua inabaqquirrari.",
MAT,4,00104," {22} Narrarideni naco amazati poccadeni darroni iquenebomana, poccadeni abi inebomana naza Zesoza touedarrari.",
MAT,4,00105," {23} Zesopa Carireauarri ccariza ccariza narizarrari. Nani Izarraeo potemaui zodeodenicca Deo Atti mamari onihi onihi narizaniuarri mari mari nanariza narrari. Pouapa Deocca cacauehecca uima bicani ehecomerariza narraro. Comaqquiri narrarideni naco comani onihi, onihi carririzemanaraha bazima ihinanomi-rizabaqqui narrari.",
MAT,4,00106," {24} Pocca uimape zama Siria nemaneheuarri madirizemanarrarideni naco mittarizemanazapa poccadeni zama uarri teraha comaqquiri narrarideni eheccarrone-baqquimana narrari. Zamacoma carrimanarrarideni, isso sirideni, birri sirideni, comani onihi onihi carrimanarrarideni eheccarrone-baqquimana naza bazima Zeso ihinanomi-rizabaqqui narrari.",
MAT,4,00106r," {24} Pocca uimape zama Siria nemaneheuarri madirizemanarrarideni naco mittarizemanazapa poccadeni zama uarri teraha comaqquiri narrarideni eheccarrona-baqquimana narrari. Zamacoma carrimanarrarideni, isso sirideni, birri sirideni, comani onihi onihi carrimanarrarideni eheccarrona-baqquimana naza bazima Zeso ihinanomi-rizabaqqui narrari.",
MAT,4,00107," Madirra bodideniza Tocorime-Taminecca zozosse tabaqqui tocorimedeni madizemanarrarideni, arra uatianirri comani carrimanarrarideni, arra madirra idedeni tone biqueraza issodeni siri toquerrenarrarideni naco eheccarrone-baqquimana naza Zeso ihinanomibaqqui narrari.",
MAT,4,00107r," Madirra bodideniza Tocorime-Taminecca zozosse tabaqqui tocorimedeni madizemanarrarideni, arra uatianirri comani carrimanarrarideni, arra madirra idedeni tone biqueraza issodeni siri toquerrenarrarideni naco eheccarrona-baqquimana naza Zeso ihinanomibaqqui narrari.",
