ISO_693-3
mhi
mhu
mhx
mhy
mib
mie
mif
mih
mil
mim
min
mio
mip
miq
mit
miy
miz
mjl
mkd
mkl
mkn
mlt
mmg
mnb
mnf
mnk
mnw
mnx
moa
mog
mop
mor
mos
mox
moz
mpg
mpm
mpp
mpx
mqb
mqj
mqn
mri
mrw
msy
mtd
mtj
mto
muh
mup
mur
muy
mvp
mwq
mwv
mxb
mxq
mxt
mxv
mya
myb
myk
myl
myx
myy
mza
mzi
mzj
mzk
mzm
mzw
nag
nan
nas
naw
nca
nch
ncj
ncl
ncu
ndj
ndp
ndv
ndy
ndz
neb
new
nfa
nfr
nga
ngl
ngp
ngu
nhe
nhi
nhu
nhw
nhx
nhy
nia
nij
nim
nin
nko
nlc
nld
nlg
nlk
nmz
nnb
nnq
nnw
noa
nod
nog
not
npi
npl
npy
nso
nst
nsu
ntm
ntr
nuj
nus
nuz
nwb
nxq
nya
nyf
nyn
nyo
nyy
nzi
obo
oci
ojb
oku
old
omw
onb
ood
ory
oss
ote
otq
ozm
pab
pad
pag
pam
pan
pao
pap
pau
pbb
pbc
pbi
pce
pcm
pez
pib
pil
pir
pis
pkb
pls
plw
pmf
pny
poh
poi
pol
por
poy
ppk
pps
prf
prk
prt
pse
pss
ptu
pui
pwg
pww
pxm
qub
quc
quf
quh
qul
quw
quy
quz
qvc
qve
qvh
qvm
qvn
qvo
qvs
qvw
qvz
qwh
qxh
qxl
qxn
qxo
qxr
rah
rai
rap
rav
raw
rej
rel
rgu
rhg
rif
ril
rim
rjs
rkt
rmc
rmo
rmy
rng
rnl
roh
rol
ron
rop
rro
rub
ruf
rug
run
rus
sab
sag
sah
saj
saq
sas
sat
sba
sbd
sbl
sbp
sch
sck
sda
sea
seh
ses
sey
sgb
sgj
sgw
shi
shk
shn
sho
shp
sid
sig
sil
sja
sjm
sld
slk
slu
slv
sml
smo
sna
snd
sne
snn
snp
snw
som
soy
spa
spp
spy
sri
srm
srn
srp
srx
stn
stp
suc
suk
sun
sur
sus
suv
suz
swe
swh
sxb
sxn
sya
syl
sza
tac
taj
tao
tap
taq
tat
tav
tbc
tbg
tbk
tbl
tby
tbz
tca
tcc
tcs
tcz
tdj
ted
tee
tem
teo
ter
tes
tex
tfr
tgj
tgk
tgl
tgo
tgp
tha
thk
thl
tih
tik
tir
tlb
tlj
tly
tmc
tmf
tna
tng
tnk
tnn
tnp
tnr
tnt
tob
toc
toh
tom
tos
tpi
tpm
tpp
tpt
trc
tri
trn
trs
tso
tsz
ttc
tte
ttq
tue
tuf
tuk
tuo
tur
tvw
twb
twe
twu
txa
txq
txu
tye
tzh
tzj
tzo
ubl
ubu
udu
uig
ukr
umb
unr
upv
ura
urb
urd
urk
usp
vag
vid
vie
vif
vmw
vmy
vun
vut
wal
wap
war
waw
way
wba
wlo
wlx
wmw
wob
wol
wwa
xdy
xed
xer
xho
xmm
xnj
xnr
xog
xon
xrb
xsb
xsm
xsr
xta
xtd
xte
xtm
xtn
xuo
yaa
yad
yal
yam
yao
yas
yat
yaz
yba
ybb
ycl
ycn
yka
yli
yor
yre
yua
yue
yuz
yva
zaa
zab
zac
zad
zae
zai
zam
zao
zaq
zar
zas
zav
zaw
zca
zga
zim
ziw
zlm
zmz
zne
zos
zpc
zpg
zpi
zpl
zpm
zpo
zpt
zpu
zpz
ztq
zty
zul
zyb
zyp
