language,stocknumber,script,smstk,file_name
Abidji,N2ABI/WBT,Latn,ABIWBT,Base_ABIDJI_N2_ABI_WBT.XLSX
Achang,N2ACN/BSM,Latn,ACNBSM,Base_NGOCHANG_N2_ACN_BSM.XLSX
Achi,N2ACR/WBT,Latn,ACRWBT,Base_ACHI_RABINAL_N2_ACR_WBT.XLSX
Adioukrou,N2ADJ/WBT,Latn,ADJWBT,Base_ADIOUKROU_N2_ADJ_WBT.XLSX
Aguaruna,N2AGR/TBL,Latn,AGRTBL,Base_AWAJUN_N2_AGR_TBL.XLSX
Agutaynen,N2AGN/WPS,Latn,AGNWPS,Base_AGUTAYNEN_N2_AGN_WPS.XLSX
Akan,N2TWS/BSG,Latn,TWSBSG,Base_AKAN_AKUAPEM_TWI_N2_TWS_BSG.XLSX
Akoose,N2BSS/WBT,Latn,BSSWBT,Base_AKOOSE_N2_BSS_WBT.XLSX
Alangan,N2ALJ/OMF,Latn,ALJOMF,Base_ALANGAN_N2_ALJ_OMF.XLSX
Alune,N2ALP/WBT,Latn,ALPWBT,Base_ALUNE_N2_ALP_WBT.XLSX
Alur,N2ALZ/BSU,Latn,ALZBSU,Base_Alur_N2_ALZ_BSU.xlsx
Ambai,N2AMK/WBT,Latn,AMKWBT,Base_AMBAI_N2_AMK_WBT.XLSX
Amganad Ifugao,N2IFA/WBT,Latn,IFAWBT,Base_CENTRAL_IFUGAO_N2_IFA_WBT.XLSX
Angguruk Yali,N2YLI/LAI,Latn,YLILAI,"Base_YALI,_ANGGURUK_N2_YLI_LAI.XLSX"
Anjam,N2BOJ/WBT,Latn,BOJWBT,Base_ANJAM_N2_BOJ_WBT.XLSX
Aralle-Tabulahan,N2ATQ/LAI,Latn,ATQLAI,Base_ARALLE_TABULAHAN_N2_ATQ_LAI.XLSX
Arosi,N2AIA/WYI,Latn,AIAWYI,Base_AROSI_N2_AIA_WYI.XLSX
Ash̩ninka Pajonal,N2CJO/WBT,Latn,CJOWBT,Base_ASHENINKA_PAJONAL_N2CJOWBT__NARRATOR_ONLY.XLSX
Awa (Papua New Guinea),N2AWB/TBL,Latn,AWBTBL,Base_AWA_N2_AWB_TBL.XLSX
Ayutla Mixtec,N2MIY/WYI,Latn,MIYWYI,Base_MIXTECAYUTLA_N2_MIY_WYI.XLSX
Balantak,N2BLZ/LAI,Latn,BLZLAI,Base_N2_BLZ_LAI.XLSX
Bambam,N2PTU/LAI,Latn,PTULAI,Base_BAMBAM_N2_PTU_LAI.XLSX
Bandial,N2BQJ/ATB,Latn,BQJATB,Base_BANDIAL_N2_BQJ_ATB.XLSX
